id,Repo,Estrelas,Idade (anos),PRs aceitos,Total releases,Dias desde última atualização,Linguagem primária,Percentual issues fechadas
1,freeCodeCamp,426635,10.68,25750,0,0.1 horas,TypeScript,0.99
2,build-your-own-x,414504,7.31,142,0,0.1 horas,Markdown,0.72
3,awesome,395342,11.13,679,0,0.1 horas,N/A,0.96
4,free-programming-books,366480,11.88,6822,0,0.0 horas,Python,0.98
5,public-apis,363069,9.44,1872,0,0.1 horas,Python,0.98
6,developer-roadmap,334754,8.45,3697,1,0.1 horas,TypeScript,0.92
7,coding-interview-university,324959,9.23,415,0,0.2 horas,N/A,0.88
8,system-design-primer,317766,8.5,200,0,0.0 horas,Python,0.27
9,996.ICU,274161,6.43,1071,0,1.1 horas,N/A,0
10,awesome-python,256960,11.17,544,0,0.0 horas,Python,0
11,awesome-selfhosted,243899,10.25,2394,1,0.1 horas,N/A,1.0
12,project-based-learning,241278,8.38,182,0,0.1 horas,N/A,0.38
13,react,238420,12.27,12150,105,0.6 horas,JavaScript,0.94
14,vue,209301,12.09,1133,249,0.6 horas,TypeScript,0.96
15,Python,204434,9.12,2991,0,0.3 horas,Python,0.96
16,linux,200798,13.99,10,0,0.2 horas,C,0
17,javascript-algorithms,193096,7.43,302,0,0.2 horas,JavaScript,0.63
18,tensorflow,191360,9.81,36131,219,0.1 horas,C++,0.98
19,computer-science,191071,11.32,299,0,0.0 horas,HTML,0.98
20,the-book-of-secret-knowledge,183830,7.18,122,0,0.0 horas,N/A,0
21,You-Dont-Know-JS,183062,11.79,368,0,0.2 horas,N/A,0.91
22,CS-Notes,181589,7.54,374,0,0.8 horas,N/A,0.78
23,ohmyzsh,180971,16.01,3380,0,1.0 horas,Shell,0.97
24,AutoGPT,178095,2.45,3225,69,0.0 horas,Python,0.95
25,vscode,176129,9.99,36369,177,0.1 horas,TypeScript,0.94
26,bootstrap,172924,14.09,8985,94,0.1 horas,MDX,0.98
27,flutter,172144,10.48,43922,7,0.4 horas,Dart,0.89
28,Python-100-Days,171309,7.49,13,0,0.2 horas,Jupyter Notebook,0.17
29,gitignore,168926,14.81,1718,0,0.2 horas,N/A,0
30,the-art-of-command-line,157907,10.28,317,0,0.2 horas,N/A,0.53
31,stable-diffusion-webui,155972,3.01,1874,27,0.3 horas,Python,0.7
32,JavaGuide,151433,7.31,1181,0,0.8 horas,Java,0.93
33,ollama,151032,2.17,2479,144,0.0 horas,Go,0.78
34,awesome-go,150935,11.15,3458,0,0.1 horas,Go,0.99
35,transformers,148879,6.83,16729,224,0.1 horas,Python,0.94
36,javascript,147316,12.82,810,0,0.7 horas,JavaScript,0.93
37,Microsoft-Activation-Scripts,146118,5.62,6,24,0.4 horas,Batchfile,1.0
38,youtube-dl,137065,14.83,1642,341,1.9 horas,Python,0.86
39,next.js,134020,8.9,23719,1000,0.1 horas,JavaScript,0.9
40,awesome-chatgpt-prompts,133256,2.73,171,0,0.0 horas,JavaScript,0
41,n8n,133018,6.19,10705,383,0.1 horas,TypeScript,0.88
42,go,129599,11.03,1,0,0.2 horas,Go,0.86
43,tech-interview-handbook,129238,9.15,482,0,0.3 horas,TypeScript,0.64
44,fucking-algorithm,129016,5.52,238,1,0.7 horas,Markdown,0.99
45,scrcpy,127153,7.77,113,47,0.8 horas,C,0.56
