id,owner,Repo,Estrelas,Idade (anos),Total releases,Dias desde última atualização,Linguagem primária
51,lenve,vhr,27940,7.69,0,0,Java
52,DrKLO,Telegram,27512,11.88,95,0,Java
53,crossoverJie,JCSprout,27075,7.74,0,0,Java
54,qiurunze123,miaosha,26505,6.99,0,0,Java
55,ashishps1,awesome-system-design-resources,25854,1.88,0,0,Java
56,apache,incubator-seata,25797,6.71,44,0,Java
57,alibaba,fastjson,25755,13.86,84,0,Java
58,JakeWharton,butterknife,25488,12.53,0,0,Java
59,hollischuang,toBeTopJavaer,25463,6.88,0,0,Java
60,apache,flink,25240,11.27,0,0,Java
71,libgdx,libgdx,24330,13.09,14,0,Java
72,CodePhiliaX,Chat2DB,24222,2.23,43,0,Java
73,google,gson,24025,10.49,12,0,Java
74,redisson,redisson,24024,11.67,173,1,Java
75,doocs,source-code-hunter,22944,5.87,0,0,Java
76,alibaba,Sentinel,22898,7.44,25,0,Java
77,iBotPeaches,Apktool,22876,13.49,26,0,Java
78,EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,22775,12.81,0,0,Java
79,apache,rocketmq,22087,8.78,22,0,Java
80,google,ExoPlayer,21877,11.25,28,0,Java
21,apache,dubbo,41326,13.24,111,0,Java
22,PhilJay,MPAndroidChart,38109,11.39,44,0,Java
23,eugenp,tutorials,37254,12.38,0,0,Java
24,halo-dev,halo,36863,7.48,227,0,Java
25,alibaba,arthas,36705,7.04,59,0,Java
26,geekxh,hello-algorithm,35770,5.29,0,0,Java
27,airbnb,lottie-android,35469,8.93,59,0,Java
28,TeamNewPipe,NewPipe,35027,10.03,137,0,Java
29,bumptech,glide,34951,12.18,53,0,Java
30,doocs,leetcode,34920,6.99,21,0,Java
41,ityouknow,spring-boot-examples,30596,8.85,0,0,Java
42,chinabugotech,hutool,30062,11.42,153,0,Java
43,apolloconfig,apollo,29649,9.53,41,0,Java
44,keycloak,keycloak,29517,12.2,87,0,Java
45,alibaba,canal,29363,12.67,32,0,Java
46,xuxueli,xxl-job,29286,9.79,39,0,Java
47,conductor-oss,conductor,29012,1.76,25,0,Java
48,wuyouzhuguli,SpringAll,28951,7.36,0,0,Java
49,alibaba,spring-cloud-alibaba,28750,7.78,48,0,Java
50,alibaba,druid,28194,13.86,51,0,Java
1,Snailclimb,JavaGuide,151673,7.35,0,0,Java
2,krahets,hello-algo,116415,2.85,9,0,Java
3,GrowingGit,GitHub-Chinese-Top-Charts,102048,6.02,0,0,Java
4,iluwatar,java-design-patterns,92630,11.1,0,0,Java
5,macrozheng,mall,81546,7.44,3,0,Java
6,spring-projects,spring-boot,78334,12.9,320,0,Java
7,doocs,advanced-java,78221,6.93,1,0,Java
8,MisterBooo,LeetCodeAnimation,76443,6.77,0,0,Java
9,elastic,elasticsearch,73755,15.6,206,0,Java
10,Stirling-Tools,Stirling-PDF,66692,2.62,138,0,Java
31,netty,netty,34420,14.85,0,0,Java
32,xkcoding,spring-boot-demo,33897,7.84,0,0,Java
33,Blankj,AndroidUtilCode,33643,9.12,117,0,Java
34,alibaba,easyexcel,33617,7.6,14,0,Java
35,zxing,zxing,33581,13.92,31,0,Java
36,SeleniumHQ,selenium,33156,12.66,108,0,Java
37,YunaiV,ruoyi-vue-pro,33151,4.63,46,0,Java
38,alibaba,nacos,32029,7.24,84,0,Java
39,binarywang,WxJava,31879,9.68,30,0,Java
40,apache,kafka,30868,14.08,0,0,Java
61,scwang90,SmartRefreshLayout,25154,8.28,14,0,Java
62,proxyee-down-org,proxyee-down,24868,7.88,49,0,Java
63,OpenAPITools,openapi-generator,24791,7.34,73,0,Java
64,Anuken,Mindustry,24789,8.37,168,0,Java
65,greenrobot,EventBus,24768,13.16,7,0,Java
66,bazelbuild,bazel,24535,11.25,211,0,Java
67,apache,skywalking,24515,9.85,62,0,Java
68,jenkinsci,jenkins,24410,14.81,443,0,Java
69,yuliskov,SmartTube,24410,5.12,912,0,Java
70,Netflix,Hystrix,24398,12.82,79,0,Java
11,kdn251,interviews,64451,8.58,0,0,Java
12,TheAlgorithms,Java,63323,9.16,0,0,Java
13,NationalSecurityAgency,ghidra,60075,6.53,46,0,Java
14,spring-projects,spring-framework,58819,14.77,341,0,Java
15,google,guava,51091,11.29,56,0,Java
16,ReactiveX,RxJava,48308,12.68,241,0,Java
17,skylot,jadx,45426,12.49,32,0,Java
18,dbeaver,dbeaver,45311,9.9,231,0,Java
19,termux,termux-app,44944,9.89,95,0,Java
20,jeecgboot,JeecgBoot,43830,6.79,61,0,Java
91,didi,DoKit,20393,7.08,14,0,Java
92,mybatis,mybatis-3,20229,12.58,46,0,Java
93,ReactiveX,RxAndroid,20061,11.07,20,0,Java
94,linlinjava,litemall,19904,7.48,8,0,Java
95,yudaocode,SpringBoot-Labs,19856,7.0,0,0,Java
96,thingsboard,thingsboard,19677,8.78,70,0,Java
97,xiaojieonly,Ehviewer_CN_SXJ,19612,4.84,106,0,Java
98,dianping,cat,18933,12.77,3,0,Java
99,Baseflow,PhotoView,18872,13.16,5,0,Java
100,JetBrains,intellij-community,18768,13.96,4,0,Java
