repository,pr_number,status,files_changed,additions,deletions,analysis_time_hours,description_length,participants,comments_count,reviews_count
donnemartin/system-design-primer,822,closed,,,,14476.304166666667,0,1,0,0
donnemartin/system-design-primer,807,closed,,,,15428.308333333332,0,1,0,0
donnemartin/system-design-primer,1082,closed,,,,1323.1497222222222,0,1,0,0
donnemartin/system-design-primer,1125,closed,,,,0.050555555555555555,0,1,0,0
donnemartin/system-design-primer,592,merged,,,,27634.328055555554,0,1,0,0
donnemartin/system-design-primer,1084,closed,,,,0.03805555555555556,0,1,0,0
donnemartin/system-design-primer,1042,merged,,,,3403.787222222222,0,1,0,0
donnemartin/system-design-primer,1081,closed,,,,233.44972222222222,0,1,0,0
donnemartin/system-design-primer,1079,closed,,,,0.021666666666666667,0,1,0,0
donnemartin/system-design-primer,803,closed,,,,14350.886666666667,0,1,0,0
donnemartin/system-design-primer,748,closed,,,,18343.909444444445,0,1,0,0
donnemartin/system-design-primer,676,closed,,,,24992.56638888889,0,1,0,0
donnemartin/system-design-primer,861,closed,,,,7154.783333333334,0,1,0,0
donnemartin/system-design-primer,1013,closed,,,,2726.2383333333332,0,1,0,0
donnemartin/system-design-primer,497,closed,,,,35821.84166666667,0,1,0,0
donnemartin/system-design-primer,496,closed,,,,35823.18111111111,0,1,0,0
donnemartin/system-design-primer,1027,closed,,,,0.005,0,1,0,0
donnemartin/system-design-primer,710,closed,,,,18171.876944444444,0,1,0,0
donnemartin/system-design-primer,628,closed,,,,25379.516944444444,0,1,0,0
donnemartin/system-design-primer,1004,closed,,,,0.004166666666666667,0,1,0,0
donnemartin/system-design-primer,1003,closed,,,,0.008055555555555555,0,1,0,0
donnemartin/system-design-primer,634,closed,,,,10008.531111111111,0,1,0,0
donnemartin/system-design-primer,945,closed,,,,0.028333333333333332,0,1,0,0
donnemartin/system-design-primer,633,closed,,,,23781.831666666665,0,1,0,0
donnemartin/system-design-primer,813,closed,,,,6523.2225,0,1,0,0
donnemartin/system-design-primer,892,closed,,,,97.80611111111111,0,1,0,0
donnemartin/system-design-primer,890,closed,,,,56.41222222222222,0,1,0,0
donnemartin/system-design-primer,867,closed,,,,713.8138888888889,0,1,0,0
donnemartin/system-design-primer,855,merged,,,,1549.1863888888888,0,1,0,0
donnemartin/system-design-primer,704,closed,,,,15370.613333333333,0,1,0,0
donnemartin/system-design-primer,484,closed,,,,31986.01388888889,0,1,0,0
donnemartin/system-design-primer,705,closed,,,,15251.514166666666,0,1,0,0
donnemartin/system-design-primer,842,closed,,,,2984.851388888889,0,1,0,0
donnemartin/system-design-primer,872,merged,,,,128.12444444444444,0,1,0,0
donnemartin/system-design-primer,866,closed,,,,0.010555555555555556,0,1,0,0
donnemartin/system-design-primer,583,closed,,,,23432.240555555556,0,1,0,0
donnemartin/system-design-primer,823,closed,,,,3264.369166666667,0,1,0,0
donnemartin/system-design-primer,856,closed,,,,0.007222222222222222,0,1,0,0
donnemartin/system-design-primer,835,closed,,,,2013.4552777777778,0,1,0,0
donnemartin/system-design-primer,833,closed,,,,1487.3255555555556,0,1,0,0
donnemartin/system-design-primer,846,closed,,,,0.006666666666666667,0,1,0,0
donnemartin/system-design-primer,845,closed,,,,0.0038888888888888888,0,1,0,0
donnemartin/system-design-primer,667,closed,,,,16234.997222222222,0,1,0,0
donnemartin/system-design-primer,740,closed,,,,8523.843055555555,0,1,0,0
donnemartin/system-design-primer,264,closed,,,,42240.77222222222,0,1,0,0
donnemartin/system-design-primer,817,closed,,,,956.0158333333334,0,1,0,0
donnemartin/system-design-primer,577,closed,,,,20096.549444444445,0,1,0,0
donnemartin/system-design-primer,815,closed,,,,19.05027777777778,0,1,0,0
donnemartin/system-design-primer,814,closed,,,,0.030833333333333334,0,1,0,0
donnemartin/system-design-primer,557,closed,,,,20164.744444444445,0,1,0,0
donnemartin/system-design-primer,701,closed,,,,8997.188055555556,0,1,0,0
donnemartin/system-design-primer,793,closed,,,,0.19055555555555556,0,1,0,0
donnemartin/system-design-primer,795,closed,,,,0.005555555555555556,0,1,0,0
donnemartin/system-design-primer,794,closed,,,,0.015277777777777777,0,1,0,0
donnemartin/system-design-primer,781,closed,,,,1705.9722222222222,0,1,0,0
donnemartin/system-design-primer,750,merged,,,,179.93,0,1,0,0
donnemartin/system-design-primer,538,closed,,,,17086.44861111111,0,1,0,0
donnemartin/system-design-primer,772,closed,,,,0.12361111111111112,0,1,0,0
donnemartin/system-design-primer,746,closed,,,,1152.3338888888889,0,1,0,0
donnemartin/system-design-primer,745,closed,,,,1212.3377777777778,0,1,0,0
donnemartin/system-design-primer,739,closed,,,,1068.3344444444444,0,1,0,0
donnemartin/system-design-primer,661,merged,,,,141.21333333333334,0,1,0,0
donnemartin/system-design-primer,735,closed,,,,0.04611111111111111,0,1,0,0
donnemartin/system-design-primer,436,merged,,,,0.25083333333333335,0,1,0,0
donnemartin/system-design-primer,722,closed,,,,0.004722222222222222,0,1,0,0
donnemartin/system-design-primer,717,merged,,,,512.6225,0,1,0,0
donnemartin/system-design-primer,716,merged,,,,171.035,0,1,0,0
donnemartin/system-design-primer,715,closed,,,,0.021388888888888888,0,1,0,0
donnemartin/system-design-primer,451,merged,,,,173.09527777777777,0,1,0,0
donnemartin/system-design-primer,703,closed,,,,71.06833333333333,0,1,0,0
donnemartin/system-design-primer,631,merged,,,,1237.4655555555555,0,1,0,0
donnemartin/system-design-primer,694,merged,,,,19.683611111111112,0,1,0,0
donnemartin/system-design-primer,698,closed,,,,0.015277777777777777,0,1,0,0
donnemartin/system-design-primer,585,closed,,,,7344.435,0,1,0,0
