repository,pr_number,title,state,merged_at,created_at,closed_at,author,url,additions,deletions,changed_files
donnemartin/system-design-primer,822,Update to a URL,closed,,2023-12-30T05:24:18Z,2025-08-24T09:42:33Z,anshsaxena1703,https://github.com/donnemartin/system-design-primer/pull/822,,,
donnemartin/system-design-primer,807,"ja: fixed いえ->いいえ, making other things more concise",closed,,2023-11-07T05:05:11Z,2025-08-11T01:23:41Z,asuzukii,https://github.com/donnemartin/system-design-primer/pull/807,,,
donnemartin/system-design-primer,1082,fix 🐛: Redis Architecture broken link,closed,,2025-05-15T10:53:46Z,2025-07-09T14:02:45Z,ad1822,https://github.com/donnemartin/system-design-primer/pull/1082,,,
donnemartin/system-design-primer,1125,"Fix bug in Cache.set(): self.map is undefined in constructor, replaced with self.lookup.get()",closed,,2025-07-04T04:03:07Z,2025-07-04T04:06:09Z,WillyPhan06,https://github.com/donnemartin/system-design-primer/pull/1125,,,
donnemartin/system-design-primer,592,Add Stripe engineering blog,closed,2024-12-02T01:10:39Z,2021-10-07T14:50:58Z,2024-12-02T01:10:39Z,satya-vinay,https://github.com/donnemartin/system-design-primer/pull/592,,,
donnemartin/system-design-primer,1084,Fix the link to palantir with a web.archive.org copy,closed,,2025-05-24T14:07:35Z,2025-05-24T14:09:52Z,irandom,https://github.com/donnemartin/system-design-primer/pull/1084,,,
donnemartin/system-design-primer,1042,Update all lecloud.net links,closed,2025-05-21T11:13:33Z,2024-12-30T15:26:19Z,2025-05-21T11:13:33Z,artamonovkirill,https://github.com/donnemartin/system-design-primer/pull/1042,,,
donnemartin/system-design-primer,1081,🚨 Attention All Contributors: Next-Gen System Design Primer Is Live – Updated & Community-Driven with vision to be interactive!,closed,,2025-05-11T17:42:58Z,2025-05-21T11:09:57Z,ido777,https://github.com/donnemartin/system-design-primer/pull/1081,,,
donnemartin/system-design-primer,1079,Study_guide,closed,,2025-05-11T07:49:14Z,2025-05-11T07:50:32Z,ido777,https://github.com/donnemartin/system-design-primer/pull/1079,,,
donnemartin/system-design-primer,803,Availability fact check (four 9s downtime per week is off) and roundings,closed,,2023-09-20T18:16:52Z,2025-05-10T17:10:04Z,bigredbadger,https://github.com/donnemartin/system-design-primer/pull/803,,,
donnemartin/system-design-primer,748,Update README.md,closed,,2023-02-24T01:16:38Z,2025-03-29T09:11:12Z,Mithun1508,https://github.com/donnemartin/system-design-primer/pull/748,,,
donnemartin/system-design-primer,676,Remove broken link.,closed,,2022-05-18T15:10:49Z,2025-03-24T23:44:48Z,fwallacevt,https://github.com/donnemartin/system-design-primer/pull/676,,,
donnemartin/system-design-primer,861,Update README.md,closed,,2024-05-29T16:06:22Z,2025-03-23T18:53:22Z,DiegoAsterio,https://github.com/donnemartin/system-design-primer/pull/861,,,
donnemartin/system-design-primer,1013,Translate README to Thai (README-th.md),closed,,2024-10-25T14:16:47Z,2025-02-16T04:31:05Z,Paxius025,https://github.com/donnemartin/system-design-primer/pull/1013,,,
donnemartin/system-design-primer,497,docs: align Constraints for the parking lot exmpl,closed,,2020-12-19T05:20:41Z,2025-01-19T19:11:11Z,dmshvetsov,https://github.com/donnemartin/system-design-primer/pull/497,,,
donnemartin/system-design-primer,496,"refactor: start enum val with buffer, count from top",closed,,2020-12-19T04:00:09Z,2025-01-19T19:11:01Z,dmshvetsov,https://github.com/donnemartin/system-design-primer/pull/496,,,
donnemartin/system-design-primer,1027,PR - 2,closed,,2024-12-01T21:34:47Z,2024-12-01T21:35:05Z,smulkur,https://github.com/donnemartin/system-design-primer/pull/1027,,,
donnemartin/system-design-primer,710,additional question code deployment system,closed,,2022-10-20T15:53:18Z,2024-11-15T19:45:55Z,maheshkasabe,https://github.com/donnemartin/system-design-primer/pull/710,,,
donnemartin/system-design-primer,628,Update terminology to be more inclusive for 'blacklist',closed,,2021-12-08T02:44:54Z,2024-10-30T14:15:55Z,laughnan,https://github.com/donnemartin/system-design-primer/pull/628,,,
donnemartin/system-design-primer,1004,Amazing new feature,closed,,2024-10-15T05:06:17Z,2024-10-15T05:06:32Z,trading2024,https://github.com/donnemartin/system-design-primer/pull/1004,,,
donnemartin/system-design-primer,1003,Update .gitignore,closed,,2024-10-11T08:26:21Z,2024-10-11T08:26:50Z,sunnyallana,https://github.com/donnemartin/system-design-primer/pull/1003,,,
donnemartin/system-design-primer,634,Added white background to all images (#630),closed,,2021-12-30T22:40:30Z,2023-02-20T23:12:22Z,bolshoytoster,https://github.com/donnemartin/system-design-primer/pull/634,,,
donnemartin/system-design-primer,945,Amazing new feature,closed,,2024-09-16T01:30:26Z,2024-09-16T01:32:08Z,picoinnetwork,https://github.com/donnemartin/system-design-primer/pull/945,,,
donnemartin/system-design-primer,633,Boddu,closed,,2021-12-29T09:09:08Z,2024-09-15T06:59:02Z,mahussain01,https://github.com/donnemartin/system-design-primer/pull/633,,,
donnemartin/system-design-primer,813,Remove master/slave terminology,closed,,2023-11-25T23:44:22Z,2024-08-23T18:57:43Z,domleboss97,https://github.com/donnemartin/system-design-primer/pull/813,,,
donnemartin/system-design-primer,892,Light changes on README.md to improve orthography,closed,,2024-08-07T06:42:13Z,2024-08-11T08:30:35Z,edevmanrique,https://github.com/donnemartin/system-design-primer/pull/892,,,
donnemartin/system-design-primer,890,📝 Update broken link under Performance vs scalability,closed,,2024-07-30T23:11:41Z,2024-08-02T07:36:25Z,mrdaliselmi,https://github.com/donnemartin/system-design-primer/pull/890,,,
donnemartin/system-design-primer,867,pt-BR: Add Brazilian Portuguese translation,closed,,2024-06-16T21:03:10Z,2024-07-16T14:52:00Z,geovanasilva,https://github.com/donnemartin/system-design-primer/pull/867,,,
donnemartin/system-design-primer,855,Fix links to Debunking the myths of RPC and REST,closed,2024-06-29T00:09:30Z,2024-04-25T10:58:19Z,2024-06-29T00:09:30Z,n-ae,https://github.com/donnemartin/system-design-primer/pull/855,,,
donnemartin/system-design-primer,704,new commit,closed,,2022-09-26T13:35:57Z,2024-06-28T00:12:45Z,rajimithu,https://github.com/donnemartin/system-design-primer/pull/704,,,
donnemartin/system-design-primer,484,Merge pull request #1 from donnemartin/master,closed,,2020-11-02T07:44:50Z,2024-06-27T01:45:40Z,wangpiju,https://github.com/donnemartin/system-design-primer/pull/484,,,
donnemartin/system-design-primer,705,test,closed,,2022-09-29T12:49:58Z,2024-06-26T00:20:49Z,TrounceGames,https://github.com/donnemartin/system-design-primer/pull/705,,,
