id;repo;idade_anos;prs_aceitos;total_releases;last_update_hours;language;closed_issues_ratio
1;freeCodeCamp;10.64;25685;0;0;TypeScript;0.99
2;build-your-own-x;7.27;142;0;0;Markdown;0.73
3;awesome;11.1;679;0;0;N/A;0.96
4;free-programming-books;11.85;6818;0;0;Python;0.97
5;public-apis;9.41;1872;0;0;Python;0.99
6;developer-roadmap;8.42;3670;1;0;TypeScript;0.92
7;coding-interview-university;9.19;415;0;0;N/A;0.88
8;system-design-primer;8.47;200;0;0;Python;0.27
9;996.ICU;6.39;1067;0;0;N/A;0.0
10;awesome-python;11.14;544;0;0;Python;0.0
11;awesome-selfhosted;10.21;2394;1;0;N/A;1.0
12;project-based-learning;8.34;182;0;0;N/A;0.38
13;react;12.23;12089;105;0;JavaScript;0.94
14;vue;12.05;1133;249;0;TypeScript;0.96
15;Python;9.08;2975;0;0;Python;0.95
16;linux;13.95;10;0;0;C;0.0
17;javascript-algorithms;7.39;302;0;5;JavaScript;0.63
18;tensorflow;9.77;35739;219;0;C++;0.98
19;computer-science;11.29;298;0;1;HTML;0.98
20;You-Dont-Know-JS;11.75;368;0;0;N/A;0.91
21;the-book-of-secret-knowledge;7.15;122;0;0;N/A;0.0
22;CS-Notes;7.5;374;0;6;N/A;0.78
23;ohmyzsh;15.97;3371;0;0;Shell;0.97
24;AutoGPT;2.41;3163;67;0;Python;0.95
25;vscode;9.95;35993;176;0;TypeScript;0.94
26;bootstrap;14.05;8967;93;0;MDX;0.98
27;flutter;10.45;43684;7;0;Dart;0.89
28;Python-100-Days;7.46;13;0;0;Jupyter Notebook;0.17
29;gitignore;14.77;1713;0;0;N/A;0.0
30;the-art-of-command-line;10.24;317;0;0;N/A;0.53
31;stable-diffusion-webui;2.98;1874;27;0;Python;0.7
32;JavaGuide;7.27;1179;0;1;Java;0.93
33;ollama;2.13;2444;141;0;Go;0.78
34;awesome-go;11.11;3455;0;0;Go;0.99
35;transformers;6.79;16545;222;0;Python;0.94
36;javascript;12.79;810;0;0;JavaScript;0.93
37;Microsoft-Activation-Scripts;5.59;6;24;0;Batchfile;1.0
38;youtube-dl;14.79;1642;341;0;Python;0.86
39;next.js;8.86;23535;1000;1;JavaScript;0.9
40;awesome-chatgpt-prompts;2.69;171;0;0;JavaScript;0.0
41;n8n;6.15;10501;376;0;TypeScript;0.88
42;go;10.99;1;0;0;Go;0.86
43;fucking-algorithm;5.48;238;1;1;Markdown;1.0
44;tech-interview-handbook;9.11;481;0;0;TypeScript;0.64
45;scrcpy;7.73;113;47;0;C;0.56
46;HelloGitHub;9.28;16;57;0;Python;0.93
47;30-seconds-of-code;7.71;826;12;4;JavaScript;1.0
48;react-native;10.6;930;409;0;C++;0.98
49;yt-dlp;4.8;2872;116;0;Python;0.83
50;PowerToys;6.29;5609;117;0;C#;0.8
51;electron;12.35;23211;1000;0;C++;0.96
52;kubernetes;11.19;62217;754;0;Go;0.96
53;hello-algo;2.78;945;9;4;Java;0.96
54;free-programming-books-zh_CN;11.78;282;3;4;N/A;0.0
55;langchain;2.82;14436;945;0;Jupyter Notebook;0.98
56;node;10.72;10705;454;0;JavaScript;0.91
57;d3;14.89;493;194;6;Shell;1.0
58;dify;2.34;6935;140;0;TypeScript;0.94
59;free-for-dev;10.41;2753;0;0;HTML;0.0
60;three.js;15.4;14360;171;3;JavaScript;0.97
61;axios;10.99;1000;97;3;JavaScript;0.91
62;open-webui;1.85;2480;119;0;JavaScript;0.97
63;rust;15.17;65424;140;1;Rust;0.82
64;TypeScript;11.16;14672;212;3;TypeScript;0.87
65;excalidraw;5.62;3693;14;0;TypeScript;0.57
66;nodebestpractices;7.92;765;0;5;Dockerfile;0.87
67;deno;7.25;13301;341;0;Rust;0.83
68;create-react-app;9.08;1949;83;1;JavaScript;0.78
69;GitHub-Chinese-Top-Charts;5.94;0;0;7;Java;0.47
70;godot;11.61;38652;61;0;C++;0.79
71;langflow;2.51;4588;261;0;Python;0.84
72;terminal;8.01;4182;136;1;C++;0.88
73;DeepSeek-V3;0.63;21;1;1;Python;0.95
74;angular;10.91;3873;467;0;TypeScript;0.95
75;frp;9.65;682;106;0;Go;0.98
76;papers-we-love;11.67;437;0;4;Shell;1.0
77;material-ui;10.99;20764;547;1;TypeScript;0.92
78;iptv;6.75;6664;0;0;TypeScript;0.97
79;Awesome-Hacking;9.38;34;0;0;N/A;0.0
80;ant-design;10.31;15744;713;2;TypeScript;0.96
81;rustdesk;4.88;3625;31;0;Rust;0.98
82;tauri;6.09;5143;1000;3;Rust;0.81
83;generative-ai-for-beginners;2.15;376;0;0;Jupyter Notebook;0.94
84;thefuck;10.36;481;17;2;Python;0.62
85;clean-code-javascript;8.72;149;0;2;JavaScript;0.69
86;ui;2.61;636;52;0;TypeScript;0.71
87;java-design-patterns;11.02;1507;0;2;Java;0.87
88;pytorch;9.01;6191;61;0;Python;0.71
89;HowToCook;5.46;586;4;0;Dockerfile;0.44
90;neovim;11.54;16084;45;0;Vim Script;0.87
91;puppeteer;8.27;5408;555;0;TypeScript;0.96
92;Web-Dev-For-Beginners;4.76;514;0;0;JavaScript;0.73
93;DeepSeek-R1;0.56;9;1;1;N/A;0.91
94;vue-element-admin;8.33;311;49;5;Vue;0.65
95;tailwindcss;7.86;3066;289;2;TypeScript;0.98
96;fastapi;6.68;2732;208;1;Python;0.99
97;every-programmer-should-know;7.98;99;0;0;N/A;0.44
98;storybook;9.41;11468;1000;0;TypeScript;0.85
99;supabase;5.84;12872;22;1;TypeScript;0.95
100;whisper;2.91;119;13;0;Python;0.0
101;nvm;15.34;729;70;1;Shell;0.86
102;awesome-mac;9.08;986;12;1;JavaScript;0.76
103;NextChat;2.43;889;77;0;TypeScript;0.81
104;ComfyUI;2.57;1157;72;1;Python;0.59
105;bitcoin;14.66;15488;56;5;C++;0.95
106;app-ideas;6.47;149;0;1;N/A;0.26
107;v2rayN;6.04;259;261;0;C#;1.0
108;llama.cpp;2.43;5430;1000;0;C++;0.94
